City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rohnert Park,US,38.3396,-122.7011,53.01,81,1,0.6,clear sky
1,Rikitea,PF,-23.1203,-134.9692,77.38,72,96,12.06,overcast clouds
2,Coolum Beach,AU,-26.5333,153.1,77.0,97,96,10.69,overcast clouds
3,Albany,US,42.6001,-73.9662,28.99,75,100,4.45,snow
4,Jamestown,US,42.097,-79.2353,19.99,73,90,17.27,light snow
5,Bluff,NZ,-46.6,168.3333,54.05,85,100,5.1,overcast clouds
6,Damaturu,NG,11.747,11.9608,80.58,17,49,8.52,scattered clouds
7,Lukulu,ZM,-14.3707,23.242,71.37,90,100,1.03,light rain
8,Kharp,RU,66.8014,65.8081,-3.55,90,100,14.54,light snow
9,Barrow,US,71.2906,-156.7887,-22.0,76,90,10.36,overcast clouds
10,Saldanha,ZA,-33.0117,17.9442,69.8,56,0,24.16,clear sky
11,Manthani,IN,18.65,79.6667,65.32,27,85,6.62,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,75,14.97,snow
13,Atar,MR,20.5169,-13.0499,73.15,21,0,15.12,clear sky
14,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,40,8.05,scattered clouds
15,Cidreira,BR,-30.1811,-50.2056,76.41,62,35,10.42,scattered clouds
16,Yellowknife,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
17,Tomatlan,MX,19.9333,-105.25,87.69,44,13,4.21,few clouds
18,Katsuura,JP,35.1333,140.3,44.6,53,0,12.66,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,17.27,light rain
20,Qaanaaq,GL,77.484,-69.3632,12.85,86,100,6.02,overcast clouds
21,Fairbanks,US,64.8378,-147.7164,-14.01,76,1,3.44,clear sky
22,Ushuaia,AR,-54.8,-68.3,57.2,54,0,16.11,clear sky
23,Hilo,US,19.7297,-155.09,63.0,59,1,9.22,clear sky
24,Mataura,NZ,-46.1927,168.8643,50.13,89,98,1.7,overcast clouds
25,Esso,RU,55.9333,158.7,23.02,93,89,12.93,snow
26,Port Hardy,CA,50.6996,-127.4199,37.4,93,75,10.36,light rain
27,Busselton,AU,-33.65,115.3333,63.0,99,100,9.13,overcast clouds
28,Butaritari,KI,3.0707,172.7902,80.64,81,43,18.21,scattered clouds
29,Mahebourg,MU,-20.4081,57.7,80.6,74,20,10.36,few clouds
30,Barcelos,PT,41.5388,-8.6151,50.0,100,90,19.57,light intensity drizzle
31,Kuching,MY,1.55,110.3333,75.2,100,20,3.44,few clouds
32,Ust-Nera,RU,64.5667,143.2,-10.34,75,96,5.93,overcast clouds
33,Moron,AR,-34.6534,-58.6198,93.99,33,0,5.01,clear sky
34,Tasiilaq,GL,65.6145,-37.6368,19.4,58,0,2.3,clear sky
35,Keita,NE,14.7551,5.7749,89.6,8,41,4.61,scattered clouds
36,Hobart,AU,-42.8794,147.3294,53.6,62,40,5.75,scattered clouds
37,Gizo,SB,-8.103,156.8419,82.33,78,57,8.21,light rain
38,Ulladulla,AU,-35.35,150.4667,66.0,77,90,10.36,overcast clouds
39,Avarua,CK,-21.2078,-159.775,78.8,89,1,3.44,clear sky
40,Najran,SA,17.4924,44.1277,69.8,35,31,4.61,scattered clouds
41,Padang,ID,-0.9492,100.3543,78.8,89,20,2.3,light rain
42,Mar Del Plata,AR,-38.0023,-57.5575,63.0,100,90,12.66,moderate rain
43,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.0,68,1,28.77,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,64.4,27,0,12.66,clear sky
45,New Norfolk,AU,-42.7826,147.0587,53.6,62,40,5.75,scattered clouds
46,Hami,CN,42.8,93.45,30.97,80,36,4.41,scattered clouds
47,Bredasdorp,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
48,Arawa,PG,-6.2132,155.5367,77.81,81,98,1.9,overcast clouds
49,Kampot,KH,10.6167,104.1833,75.2,88,20,1.14,few clouds
50,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,83,75,5.75,moderate rain
51,Aklavik,CA,68.2191,-135.0107,-13.0,70,90,12.66,snow
52,Hermanus,ZA,-34.4187,19.2345,68.0,73,38,6.35,scattered clouds
53,Luzhou,CN,28.8724,105.4405,58.64,56,100,1.48,overcast clouds
54,Sao Filipe,CV,14.8961,-24.4956,71.33,71,84,15.17,broken clouds
55,Coahuayana,MX,18.7333,-103.6833,75.2,69,1,6.91,clear sky
56,Thompson,CA,55.7435,-97.8558,-32.8,61,75,17.27,snow
57,Coihaique,CL,-45.5752,-72.0662,71.6,40,20,8.05,few clouds
58,Fraserburgh,GB,57.6874,-2.0184,30.0,78,100,8.99,overcast clouds
59,Hambantota,LK,6.1241,81.1185,77.77,79,13,16.8,few clouds
60,Lorengau,PG,-2.0226,147.2712,81.72,79,98,7.81,overcast clouds
61,Tura,IN,25.5198,90.2201,58.89,43,35,2.48,scattered clouds
62,Narsaq,GL,60.9167,-46.05,37.4,30,90,47.18,overcast clouds
63,Svetlogorsk,BY,52.6333,29.7333,5.07,92,71,3.24,broken clouds
64,Sechura,PE,-5.5569,-80.8222,84.52,50,5,9.64,clear sky
65,Nikolskoye,RU,59.7035,30.7861,15.8,92,75,8.95,light snow
66,College,US,64.8569,-147.8028,-14.01,76,40,2.95,scattered clouds
67,Luderitz,NA,-26.6481,15.1594,73.72,55,0,31.09,clear sky
68,Cape Town,ZA,-33.9258,18.4232,69.8,60,0,24.16,clear sky
69,San Ramon,US,37.7799,-121.978,57.99,67,1,2.98,clear sky
70,Hukuntsi,BW,-24.0,21.75,74.89,68,13,8.97,few clouds
71,Guerrero Negro,MX,27.9769,-114.0611,71.56,23,0,5.1,clear sky
72,Chuy,UY,-33.6971,-53.4616,76.53,60,1,9.64,clear sky
73,Buluang,PH,13.3068,123.3425,75.65,87,97,5.68,overcast clouds
74,Vagur,FO,61.4732,-6.8119,37.15,78,96,17.07,overcast clouds
75,Bathsheba,BB,13.2167,-59.5167,82.4,61,75,27.63,broken clouds
76,Lavrentiya,RU,65.5833,-171.0,-11.22,84,0,5.3,clear sky
77,Khatanga,RU,71.9667,102.5,-31.58,79,0,9.4,clear sky
78,Longonjo,AO,-12.9067,15.2533,70.66,57,100,2.62,overcast clouds
79,Te Anau,NZ,-45.4167,167.7167,55.27,79,98,3.13,light rain
80,Dikson,RU,73.5069,80.5464,-30.84,85,89,11.7,overcast clouds
81,Naze,JP,28.3667,129.4833,57.72,64,0,8.72,clear sky
82,Saskylakh,RU,71.9167,114.0833,-38.09,78,27,11.72,scattered clouds
83,Mestia,GE,43.0458,42.7278,34.84,83,100,3.94,snow
84,Georgetown,MY,5.4112,100.3354,82.4,83,20,3.44,few clouds
85,Danielskuil,ZA,-28.1887,23.5395,77.23,37,4,1.28,clear sky
86,Juba,SS,4.8517,31.5825,80.31,17,93,3.53,overcast clouds
87,Atuona,PF,-9.8,-139.0333,79.43,74,48,21.7,scattered clouds
88,Hithadhoo,MV,-0.6,73.0833,81.9,71,44,8.93,scattered clouds
89,Victoria,HK,22.2855,114.1577,68.0,85,0,10.58,clear sky
90,Kirovskiy,RU,45.0917,133.5136,-13.76,89,98,3.38,overcast clouds
91,Flin Flon,CA,54.7682,-101.865,-34.6,61,1,12.66,snow
92,Gunzenhausen,DE,49.1,10.75,36.0,100,90,5.75,light snow
93,Dolinsk,RU,47.35,142.8,-13.0,77,24,2.24,few clouds
94,Turbat,PK,26.0023,63.044,56.52,38,0,0.87,clear sky
95,Hasaki,JP,35.7333,140.8333,39.2,65,75,5.75,broken clouds
96,Severo-Kurilsk,RU,50.6789,156.125,16.86,87,82,13.11,broken clouds
97,Lata,PT,40.1629,-8.3327,53.01,93,100,1.99,overcast clouds
98,Provideniya,RU,64.3833,-173.3,-3.78,78,40,16.82,scattered clouds
99,Tiksi,RU,71.6872,128.8694,-28.34,83,66,3.4,broken clouds
100,Cabo San Lucas,MX,22.8909,-109.9124,77.0,64,40,8.05,scattered clouds
101,Halifax,CA,44.6453,-63.5724,30.2,47,100,2.3,overcast clouds
102,Yorosso,ML,12.3536,-4.7761,92.53,12,40,7.94,scattered clouds
103,Zambezi,ZM,-13.5432,23.1047,72.41,85,100,2.24,light rain
104,Bubaque,GW,11.2833,-15.8333,78.78,61,1,16.62,clear sky
105,Grand Forks,US,47.9417,-97.4337,-11.99,58,40,4.61,scattered clouds
106,Koroni,GR,36.8,21.95,64.0,82,75,13.4,broken clouds
107,Nicoya,CR,10.1483,-85.452,91.4,40,0,17.27,clear sky
108,Clyde River,CA,70.4692,-68.5914,-4.0,84,75,16.11,broken clouds
109,Ostrovnoy,RU,68.0531,39.5131,6.37,88,100,1.59,overcast clouds
110,Male,MV,4.1748,73.5089,82.4,89,75,12.66,broken clouds
111,Scottsbluff,US,41.8666,-103.6672,14.0,79,90,5.75,light snow
112,Laguna,US,38.421,-121.4238,54.0,87,1,4.0,clear sky
113,Khani,GE,41.9563,42.9566,44.6,100,75,2.3,broken clouds
114,Vostok,RU,46.4856,135.8833,-13.63,90,100,2.84,overcast clouds
115,Aden,YE,12.7794,45.0367,75.49,65,9,3.11,clear sky
116,Longyearbyen,SJ,78.2186,15.6401,15.8,73,75,19.57,light snow
117,Vardo,NO,70.3705,31.1107,23.0,86,75,32.21,snow
118,Norman Wells,CA,65.282,-126.8329,-27.4,75,75,3.44,broken clouds
119,Markivka,UA,49.5229,39.5705,13.48,78,43,9.55,scattered clouds
120,Porto Empedocle,IT,37.2934,13.5264,55.99,86,64,5.3,broken clouds
121,Port Augusta,AU,-32.5,137.7667,62.6,77,0,10.36,clear sky
122,Kruisfontein,ZA,-34.0033,24.7314,64.99,93,100,4.0,overcast clouds
123,Ketchikan,US,55.3422,-131.6461,28.4,74,1,9.22,clear sky
124,Half Moon Bay,US,37.4636,-122.4286,57.0,82,1,4.61,haze
125,Port Alfred,ZA,-33.5906,26.891,66.99,95,70,11.81,light rain
126,Yar-Sale,RU,66.8333,70.8333,-11.72,90,100,24.76,light snow
127,Carnarvon,AU,-24.8667,113.6333,78.8,100,40,12.66,scattered clouds
128,Beringovskiy,RU,63.05,179.3167,-2.2,90,100,14.76,overcast clouds
129,Nuuk,GL,64.1835,-51.7216,33.8,40,0,6.91,clear sky
130,Castro,BR,-24.7911,-50.0119,75.94,45,0,4.23,clear sky
131,Yumen,CN,40.2833,97.2,28.45,74,66,3.51,broken clouds
132,Vaini,TO,-21.2,-175.2,78.8,89,75,12.66,moderate rain
133,Qaqortoq,GL,60.7167,-46.0333,37.4,30,98,47.18,overcast clouds
134,Alappuzha,IN,9.49,76.3264,78.73,71,14,3.2,few clouds
135,Ebbs,AT,47.6333,12.2167,42.01,87,95,1.99,light rain
136,Abu Samrah,SY,35.3029,37.1841,54.3,78,0,8.16,clear sky
137,Krasnoselkup,RU,65.7,82.4667,7.9,95,100,17.25,light snow
138,Gardelegen,DE,52.5252,11.3952,21.99,65,100,5.99,light snow
139,Plouzane,FR,48.3833,-4.6167,41.0,75,90,14.97,overcast clouds
140,Nantucket,US,41.2835,-70.0995,35.01,100,90,11.5,snow
141,Isiro,CD,2.7739,27.616,73.53,29,74,1.92,broken clouds
142,Souillac,MU,-20.5167,57.5167,80.6,74,20,10.36,light rain
143,Moose Factory,CA,51.2585,-80.6094,-7.6,59,90,9.22,haze
144,Bereznik,RU,62.8551,42.7072,-16.11,87,99,7.63,overcast clouds
145,Madang,PG,-5.2246,145.7966,76.8,87,100,4.16,overcast clouds
146,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,88,75,16.33,broken clouds
147,Bethel,US,41.3712,-73.414,28.0,93,90,8.05,snow
148,East London,ZA,-33.0153,27.9116,71.6,88,75,6.91,broken clouds
149,Fare,PF,-16.7,-151.0167,81.05,74,53,11.9,broken clouds
150,Lagoa,PT,39.05,-27.9833,57.7,73,100,20.27,overcast clouds
151,Flinders,AU,-34.5833,150.8552,66.0,81,71,1.01,broken clouds
152,Poum,NC,-20.2333,164.0167,80.1,70,99,6.85,overcast clouds
153,Namibe,AO,-15.1961,12.1522,73.09,77,97,6.13,overcast clouds
154,Trat,TH,12.5,102.5,73.94,83,60,0.83,broken clouds
155,Pestravka,RU,52.405,49.9583,-8.12,88,75,11.52,broken clouds
156,Nanortalik,GL,60.1432,-45.2371,32.61,87,100,15.08,overcast clouds
157,Limbang,MY,4.75,115.0,80.6,89,75,3.44,broken clouds
158,Przasnysz,PL,53.0191,20.8803,12.0,78,0,8.05,clear sky
159,Gao,ML,16.6362,1.637,82.56,14,96,5.28,overcast clouds
160,Mutis,CO,6.2262,-77.4044,84.43,74,94,2.86,light rain
161,Kahului,US,20.8947,-156.47,68.0,72,40,4.61,scattered clouds
162,Namatanai,PG,-3.6667,152.4333,80.31,80,85,4.99,light rain
163,Santa Maria,BR,-29.6842,-53.8069,84.2,45,20,6.91,few clouds
164,Ust-Shonosha,RU,61.1531,41.343,-15.72,87,100,6.89,overcast clouds
165,Skelleftea,SE,64.7507,20.9528,17.6,93,0,6.91,clear sky
166,Nyurba,RU,63.2842,118.3319,-5.39,88,100,7.96,overcast clouds
167,Pochutla,MX,15.7432,-96.4661,82.99,69,90,9.22,overcast clouds
168,Nishihara,JP,26.1842,127.7558,62.6,63,1,3.44,clear sky
169,Camacha,PT,33.0833,-16.3333,62.6,77,75,17.27,broken clouds
170,Lebu,CL,-37.6167,-73.65,64.65,75,86,7.61,overcast clouds
171,Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,77,75,16.11,broken clouds
172,Lae,PG,-6.7221,146.9847,78.94,76,97,6.11,overcast clouds
173,Plover,US,44.4564,-89.544,-6.0,54,1,9.22,clear sky
174,Komsomolskiy,UZ,40.4272,71.7189,44.82,84,100,2.73,overcast clouds
175,Esperance,AU,-33.8667,121.9,64.4,82,90,14.97,overcast clouds
176,Belmonte,BR,-15.8631,-38.8828,82.4,89,75,9.22,broken clouds
177,Faya,SA,18.3851,42.4509,57.2,62,0,6.33,clear sky
178,Puerto Ayacucho,VE,5.6639,-67.6236,94.37,45,93,0.98,overcast clouds
179,Jalu,LY,29.0331,21.5482,68.23,25,68,12.66,broken clouds
180,Waipawa,NZ,-41.4122,175.5153,62.6,88,75,19.57,broken clouds
181,Khon Buri,TH,14.5254,102.2459,80.01,77,4,3.2,clear sky
182,Nahuala,GT,14.85,-91.3167,73.4,35,0,11.5,clear sky
183,Dandong,CN,40.1292,124.3947,14.38,86,0,7.61,clear sky
184,Ribeira Grande,PT,38.5167,-28.7,62.6,67,40,19.57,scattered clouds
185,San Cristobal,VE,7.7669,-72.225,87.8,51,40,9.22,scattered clouds
186,Pangnirtung,CA,66.1451,-65.7125,35.6,35,20,12.66,few clouds
187,Jibuti,DJ,11.5,42.5,77.0,73,20,5.75,few clouds
188,Hobyo,SO,5.3505,48.5268,78.28,77,11,19.01,few clouds
189,Aktau,KZ,43.65,51.2,30.2,80,0,11.18,clear sky
190,Balsas,BR,-7.5325,-46.0356,82.87,67,65,5.73,broken clouds
191,Hot Springs,US,34.5037,-93.0552,39.2,81,90,8.05,overcast clouds
192,Port Hedland,AU,-20.3167,118.5667,78.8,69,0,9.22,clear sky
193,Malanje,AO,-9.5402,16.341,67.91,94,98,5.79,moderate rain
194,Brekstad,NO,63.687,9.6654,25.0,86,20,9.22,few clouds
195,Limanu,RO,43.8,28.5333,45.0,100,90,14.97,light intensity drizzle
196,Gat,IL,31.61,34.7642,61.0,100,0,4.88,clear sky
197,Bandarbeyla,SO,9.4942,50.8122,76.37,78,1,17.63,clear sky
198,Mastic,US,40.802,-72.8409,33.01,93,90,17.27,snow
199,Upernavik,GL,72.7868,-56.1549,18.9,81,33,4.21,scattered clouds
200,Grenada,ES,37.1882,-3.6067,48.2,76,75,8.05,broken clouds
201,Acapulco,MX,16.8634,-99.8901,84.2,61,40,5.08,scattered clouds
202,Sibolga,ID,1.7427,98.7792,77.36,80,93,3.36,overcast clouds
203,Codrington,AU,-38.2667,141.9667,56.28,70,99,10.71,overcast clouds
204,Kavieng,PG,-2.5744,150.7967,82.53,77,42,8.77,scattered clouds
205,Luanda,AO,-8.8368,13.2343,80.6,78,75,8.05,broken clouds
206,Pimentel,PE,-6.8367,-79.9342,87.8,45,0,14.97,clear sky
207,Vitim,RU,59.4511,112.5578,12.87,94,100,10.54,light snow
208,Balkhash,KZ,46.844,74.9804,24.37,99,69,3.8,broken clouds
209,Tazovskiy,RU,67.4667,78.7,-12.86,90,100,19.15,light snow
210,Dalvik,IS,65.9702,-18.5286,32.0,74,75,2.3,broken clouds
211,Marshall,US,34.3834,-86.3333,43.0,70,90,8.05,overcast clouds
212,Nhulunbuy,AU,-12.2333,136.7667,80.6,83,100,10.36,overcast clouds
213,Hindoria,IN,23.9,79.5667,55.49,39,0,3.36,clear sky
214,Baherden,TM,38.4362,57.4316,58.35,56,95,1.61,overcast clouds
215,Stephenville,US,32.2207,-98.2023,52.0,58,1,16.11,clear sky
216,Pacific Grove,US,36.6177,-121.9166,52.0,81,1,6.91,clear sky
217,Porto Santo,PT,33.072,-16.3415,62.6,77,75,17.27,broken clouds
218,San Patricio,US,28.017,-97.5169,71.6,46,1,13.8,clear sky
219,Saint-Georges,GD,12.0564,-61.7485,84.2,65,20,23.02,few clouds
220,Kinshasa,CD,-4.3246,15.3215,75.2,88,20,13.8,light rain
221,Ancud,CL,-41.8697,-73.8203,80.6,36,0,6.91,clear sky
222,Basqal,AZ,40.7552,48.391,53.6,50,90,19.57,overcast clouds
223,Faanui,PF,-16.4833,-151.75,81.1,74,5,11.88,clear sky
224,Watrous,CA,51.6668,-105.4679,-29.2,68,25,8.05,scattered clouds
225,Atasu,KZ,48.6814,71.6433,19.54,96,99,12.33,overcast clouds
226,Fukue,JP,32.6881,128.8419,53.78,59,24,21.16,few clouds
227,Touros,BR,-5.1989,-35.4608,87.8,58,40,17.27,scattered clouds
